region,country,EITI,YR_EITIannounce,YR_EITIcandidacy,YR_EITIcompliance,YR_EITIprogress,YR_EITIsuspended,YR_EITIreinstated,YR_EITIsusp1,YR_EITIsusp2,YR_EITIsusp3,YR_EITIsusp4,EITI_suspcount,notes,link,countrycode,indicatorname,indicatorcode,yrpctgdp_1960,yrpctgdp_1961,yrpctgdp_1962,yrpctgdp_1963,yrpctgdp_1964,yrpctgdp_1965,yrpctgdp_1966,yrpctgdp_1967,yrpctgdp_1968,yrpctgdp_1969,yrpctgdp_1970,yrpctgdp_1971,yrpctgdp_1972,yrpctgdp_1973,yrpctgdp_1974,yrpctgdp_1975,yrpctgdp_1976,yrpctgdp_1977,yrpctgdp_1978,yrpctgdp_1979,yrpctgdp_1980,yrpctgdp_1981,yrpctgdp_1982,yrpctgdp_1983,yrpctgdp_1984,yrpctgdp_1985,yrpctgdp_1986,yrpctgdp_1987,yrpctgdp_1988,yrpctgdp_1989,yrpctgdp_1990,yrpctgdp_1991,yrpctgdp_1992,yrpctgdp_1993,yrpctgdp_1994,yrpctgdp_1995,yrpctgdp_1996,yrpctgdp_1997,yrpctgdp_1998,yrpctgdp_1999,yrpctgdp_2000,yrpctgdp_2001,yrpctgdp_2002,yrpctgdp_2003,yrpctgdp_2004,yrpctgdp_2005,yrpctgdp_2006,yrpctgdp_2007,yrpctgdp_2008,yrpctgdp_2009,yrpctgdp_2010,yrpctgdp_2011,yrpctgdp_2012,yrpctgdp_2013,yrpctgdp_2014,yrpctgdp_2015,yrpctgdp_2016,yrgdp_1960,yrgdp_1961,yrgdp_1962,yrgdp_1963,yrgdp_1964,yrgdp_1965,yrgdp_1966,yrgdp_1967,yrgdp_1968,yrgdp_1969,yrgdp_1970,yrgdp_1971,yrgdp_1972,yrgdp_1973,yrgdp_1974,yrgdp_1975,yrgdp_1976,yrgdp_1977,yrgdp_1978,yrgdp_1979,yrgdp_1980,yrgdp_1981,yrgdp_1982,yrgdp_1983,yrgdp_1984,yrgdp_1985,yrgdp_1986,yrgdp_1987,yrgdp_1988,yrgdp_1989,yrgdp_1990,yrgdp_1991,yrgdp_1992,yrgdp_1993,yrgdp_1994,yrgdp_1995,yrgdp_1996,yrgdp_1997,yrgdp_1998,yrgdp_1999,yrgdp_2000,yrgdp_2001,yrgdp_2002,yrgdp_2003,yrgdp_2004,yrgdp_2005,yrgdp_2006,yrgdp_2007,yrgdp_2008,yrgdp_2009,yrgdp_2010,yrgdp_2011,yrgdp_2012,yrgdp_2013,yrgdp_2014,yrgdp_2015,yrgdp_2016,rq_est_1996,rq_se_1996,rq_numsrc_1996,rq_rank_1996,rq_min_1996,rq_max_1996,rq_est_1998,rq_se_1998,rq_numsrc_1998,rq_rank_1998,rq_min_1998,rq_max_1998,rq_est_2000,rq_se_2000,rq_numsrc_2000,rq_rank_2000,rq_min_2000,rq_max_2000,rq_est_2002,rq_se_2002,rq_numsrc_2002,rq_rank_2002,rq_min_2002,rq_max_2002,rq_est_2003,rq_se_2003,rq_numsrc_2003,rq_rank_2003,rq_min_2003,rq_max_2003,rq_est_2004,rq_se_2004,rq_numsrc_2004,rq_rank_2004,rq_min_2004,rq_max_2004,rq_est_2005,rq_se_2005,rq_numsrc_2005,rq_rank_2005,rq_min_2005,rq_max_2005,rq_est_2006,rq_se_2006,rq_numsrc_2006,rq_rank_2006,rq_min_2006,rq_max_2006,rq_est_2007,rq_se_2007,rq_numsrc_2007,rq_rank_2007,rq_min_2007,rq_max_2007,rq_est_2008,rq_se_2008,rq_numsrc_2008,rq_rank_2008,rq_min_2008,rq_max_2008,rq_est_2009,rq_se_2009,rq_numsrc_2009,rq_rank_2009,rq_min_2009,rq_max_2009,rq_est_2010,rq_se_2010,rq_numsrc_2010,rq_rank_2010,rq_min_2010,rq_max_2010,rq_est_2011,rq_se_2011,rq_numsrc_2011,rq_rank_2011,rq_min_2011,rq_max_2011,rq_est_2012,rq_se_2012,rq_numsrc_2012,rq_rank_2012,rq_min_2012,rq_max_2012,rq_est_2013,rq_se_2013,rq_numsrc_2013,rq_rank_2013,rq_min_2013,rq_max_2013,rq_est_2014,rq_se_2014,rq_numsrc_2014,rq_rank_2014,rq_min_2014,rq_max_2014,rq_est_2015,rq_se_2015,rq_numsrc_2015,rq_rank_2015,rq_min_2015,rq_max_2015,rq_est_2016,rq_se_2016,rq_numsrc_2016,rq_rank_2016,rq_min_2016,rq_max_2016,cc_est_1996,cc_se_1996,cc_numsrc_1996,cc_rank_1996,cc_min_1996,cc_max_1996,cc_est_1998,cc_se_1998,cc_numsrc_1998,cc_rank_1998,cc_min_1998,cc_max_1998,cc_est_2000,cc_se_2000,cc_numsrc_2000,cc_rank_2000,cc_min_2000,cc_max_2000,cc_est_2002,cc_se_2002,cc_numsrc_2002,cc_rank_2002,cc_min_2002,cc_max_2002,cc_est_2003,cc_se_2003,cc_numsrc_2003,cc_rank_2003,cc_min_2003,cc_max_2003,cc_est_2004,cc_se_2004,cc_numsrc_2004,cc_rank_2004,cc_min_2004,cc_max_2004,cc_est_2005,cc_se_2005,cc_numsrc_2005,cc_rank_2005,cc_min_2005,cc_max_2005,cc_est_2006,cc_se_2006,cc_numsrc_2006,cc_rank_2006,cc_min_2006,cc_max_2006,cc_est_2007,cc_se_2007,cc_numsrc_2007,cc_rank_2007,cc_min_2007,cc_max_2007,cc_est_2008,cc_se_2008,cc_numsrc_2008,cc_rank_2008,cc_min_2008,cc_max_2008,cc_est_2009,cc_se_2009,cc_numsrc_2009,cc_rank_2009,cc_min_2009,cc_max_2009,cc_est_2010,cc_se_2010,cc_numsrc_2010,cc_rank_2010,cc_min_2010,cc_max_2010,cc_est_2011,cc_se_2011,cc_numsrc_2011,cc_rank_2011,cc_min_2011,cc_max_2011,cc_est_2012,cc_se_2012,cc_numsrc_2012,cc_rank_2012,cc_min_2012,cc_max_2012,cc_est_2013,cc_se_2013,cc_numsrc_2013,cc_rank_2013,cc_min_2013,cc_max_2013,cc_est_2014,cc_se_2014,cc_numsrc_2014,cc_rank_2014,cc_min_2014,cc_max_2014,cc_est_2015,cc_se_2015,cc_numsrc_2015,cc_rank_2015,cc_min_2015,cc_max_2015,cc_est_2016,cc_se_2016,cc_numsrc_2016,cc_rank_2016,cc_min_2016,cc_max_2016
Asia&Oceania,Afghanistan,1,2009,2010,,,0,,,,,,0,multiple validation attempts,https://eiti.org/afghanistan#implementation-,AFG,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,0.0131512,0.0245753,0.0094011,0.0155769,,,0.0015652,-0.0081264,,0.0324505,0.2471357,0.0051742,,,,,,,,,,,,,,,,,,,,0.0276236,1.210999,1.261005,3.536112,4.318675,3.372252,1.916833,0.4517306,1.581754,0.3400968,0.3213613,0.2299646,0.187758,0.2170063,0.8278065,0.5084782,,,,,,,,,,,230000,450000,150000,270000,,,40000,-240000,,1200000,9000000,180000,100000,,,,,400000,,,,-280000,360000,-20000,20000,-93326.667,690000,-1460000,-10000,6040000,170000,680000,50000000,57800000,1.87E+08,2.71E+08,2.38E+08,1.89E+08,46033740,1.98E+08,54200551,57620844,47226788,37638586,43510167,1.63E+08,98995722,-2.09,0.39,1,1.63,0,5.98,-2.09,0.45,1,2.59,0,7.77,-2.11,0.43,1,1.54,0,8.21,-1.8,0.31,2,3.06,0,7.14,-1.43,0.24,2,5.61,2.55,15.31,-1.51,0.22,4,5.42,1.97,11.82,-1.64,0.18,4,3.43,1.47,8.33,-1.67,0.22,5,2.94,1.96,8.82,-1.69,0.24,4,2.91,1.94,8.74,-1.62,0.21,5,3.4,2.43,7.77,-1.67,0.19,6,3.35,1.91,5.74,-1.53,0.19,6,5.26,2.39,8.13,-1.54,0.18,6,4.27,2.37,9,-1.19,0.18,8,10.9,4.74,21.8,-1.19,0.18,9,10.9,5.69,21.8,-1.12,0.19,9,11.06,5.29,24.52,-1,0.19,9,14.42,6.73,27.88,-1.33,0.2,9,7.21,3.85,12.98,-1.29,0.34,2,4.3,0,27.42,-1.18,0.33,2,9.79,0,31.44,-1.3,0.36,2,5.08,0,29.44,-1.26,0.36,2,5.05,0,31.82,-1.35,0.28,3,5.05,0,18.18,-1.35,0.21,5,5.85,0,14.15,-1.44,0.21,5,2.44,0,13.17,-1.43,0.21,7,3.9,0,12.2,-1.59,0.23,6,0.97,0,7.28,-1.64,0.22,7,0.49,0,4.85,-1.53,0.2,8,0.96,0,7.66,-1.64,0.2,9,0.95,0,3.81,-1.58,0.19,9,0.95,0,5.69,-1.42,0.19,10,2.37,0,11.85,-1.44,0.16,11,1.9,0,9.95,-1.35,0.16,11,5.29,0.48,12.5,-1.34,0.16,11,6.25,1.44,12.5,-1.56,0.18,10,3.37,0,8.65
Africa,Angola,0,,,,,0,,,,,,0,,,AGO,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,4.15888,3.50064,1.78024,1.95976,1.994667,-3.339072,5.483302,5.06582,5.723561,4.195251,9.374384,2.398994,5.382318,17.28414,40.16725,9.623866,24.00912,13.95099,25.20956,11.18703,-4.618014,-0.0902497,-1.477846,1.994548,2.921219,-3.913151,-2.904235,-5.977515,-5.700024,1.515813,9.015118,4.579134,,,,,,,,,,,2400000,1860000,2160000,7540000,6690000,50000,-1170000,,1870000,2000000,37420000,49050000,1.16E+08,1.04E+08,67140000,2.78E+08,2.34E+08,1.19E+08,1.31E+08,2.00E+08,-3.35E+08,6.65E+08,2.88E+08,3.02E+08,1.70E+08,4.72E+08,1.81E+08,4.12E+08,1.11E+09,2.47E+09,8.79E+08,2.15E+09,1.74E+09,3.58E+09,2.20E+09,-1.30E+09,-37714860,-8.93E+08,1.68E+09,2.21E+09,-3.23E+09,-3.02E+09,-6.90E+09,-7.12E+09,1.92E+09,9.28E+09,4.10E+09,-1.42,0.31,4,7.61,1.63,20.11,-1.69,0.27,6,5.7,1.55,9.84,-1.8,0.26,5,4.1,0,8.72,-1.46,0.22,6,6.63,2.55,12.24,-1.21,0.18,7,11.22,3.57,18.37,-1.25,0.18,8,9.85,4.93,16.26,-1.26,0.16,8,10.29,4.41,16.67,-1.13,0.18,9,13.24,6.86,21.08,-1.02,0.18,8,16.5,6.31,22.33,-1.07,0.18,8,16.02,6.31,21.36,-1.03,0.17,9,15.31,5.74,24.4,-1.04,0.16,10,16.27,7.18,23.44,-1.1,0.16,10,12.32,6.64,22.27,-0.97,0.18,9,18.48,9,27.49,-1.05,0.18,10,15.64,7.58,24.17,-0.99,0.18,10,16.83,7.69,27.4,-0.91,0.18,9,17.79,9.62,28.85,-1,0.18,9,13.46,7.69,25,-1.17,0.26,4,9.68,0.54,27.42,-1.41,0.21,6,1.55,0,13.4,-1.52,0.22,6,1.52,0,8.12,-1.18,0.2,6,6.57,0,24.24,-1.32,0.18,8,5.56,0,11.62,-1.31,0.16,10,7.8,0.98,14.15,-1.3,0.18,9,7.32,0.49,16.59,-1.22,0.17,11,7.8,1.95,18.05,-1.29,0.18,10,5.83,0.49,17.96,-1.28,0.18,11,4.85,0.97,15.53,-1.4,0.17,12,2.39,0,11.96,-1.33,0.16,13,3.81,0.95,13.81,-1.34,0.15,13,4.27,0,13.74,-1.27,0.16,12,7.11,0,15.64,-1.31,0.15,13,6.16,0.47,12.32,-1.44,0.15,12,3.85,0,9.13,-1.39,0.15,10,3.85,0.48,11.06,-1.41,0.16,10,5.77,0.48,10.58
America,Bolivia,0,,,,,0,,,,,,0,,,BOL,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,1.943035,0.173444,1.28855,0.3642069,2.106083,2.561528,-0.296477,-0.0371812,0.3059959,1.515376,2.005515,2.527324,1.094006,0.2397349,0.2107146,0.3533387,0.5051296,1.559353,-0.2196791,-0.51739,0.5587989,0.9731861,1.64957,2.158797,2.176804,5.847909,6.409384,9.218144,11.17146,12.19663,8.76825,8.668583,8.557894,2.442354,0.7457726,-2.49888,2.451682,2.791843,3.072602,2.439678,3.165444,3.584442,3.91355,5.706622,1.989825,1.680728,0.982864,,,,,,,,,,,19764000,1900000,16205000,4600000,44233000,61597000,-8100000,-1200000,11500000,67000000,91000000,1.49E+08,61200000,13000000,13000000,19000000,20000000,67800000,-10100000,-24400000,27200000,52000000,93100000,1.24E+08,1.30E+08,3.93E+08,4.74E+08,7.31E+08,9.49E+08,1.01E+09,7.36E+08,7.06E+08,6.77E+08,1.97E+08,65430000,-2.39E+08,2.81E+08,3.66E+08,5.12E+08,4.23E+08,6.22E+08,8.59E+08,1.06E+09,1.75E+09,6.57E+08,5.55E+08,3.32E+08,0,0.31,4,54.35,28.8,66.3,0.19,0.3,5,59.59,37.31,73.58,0.04,0.25,6,55.9,35.38,66.67,-0.06,0.21,7,52.55,38.27,61.73,-0.08,0.18,7,52.55,39.8,59.69,-0.2,0.18,8,47.78,33,57.64,-0.69,0.16,8,25.49,18.14,38.24,-0.89,0.19,9,19.61,12.25,28.92,-0.98,0.19,9,16.99,8.25,25.24,-0.87,0.19,9,18.93,12.14,31.07,-0.88,0.18,9,21.05,10.05,29.67,-0.8,0.17,9,23.44,13.88,33.49,-0.76,0.17,10,24.17,15.64,35.07,-0.82,0.18,10,22.75,11.85,32.23,-0.78,0.18,10,24.17,14.22,34.12,-0.87,0.19,10,20.67,10.1,31.25,-0.89,0.18,10,19.23,10.1,29.81,-0.92,0.19,10,17.31,9.13,27.88,-0.82,0.26,4,25.27,6.45,41.94,-0.36,0.22,5,44.33,30.93,54.64,-0.46,0.21,6,37.06,26.4,53.81,-0.9,0.19,7,21.72,6.06,32.32,-0.82,0.18,8,23.23,10.1,35.35,-0.78,0.16,12,24.88,14.15,35.61,-0.74,0.17,12,24.88,16.59,40.98,-0.43,0.15,14,39.02,28.78,52.68,-0.4,0.16,14,39.81,28.64,53.88,-0.52,0.16,14,35.92,23.79,48.54,-0.63,0.16,14,28.71,20.1,43.06,-0.47,0.16,15,39.05,25.71,52.38,-0.57,0.15,16,34.12,21.33,46.92,-0.73,0.14,16,27.01,17.06,37.44,-0.59,0.14,15,34.6,21.8,44.08,-0.63,0.14,14,30.29,20.19,42.79,-0.7,0.14,14,26.92,17.31,38.46,-0.71,0.14,14,26.92,14.42,36.54
Africa,Cameroon,1,2005,2007,2013,,0,,,,,,0,,https://eiti.org/cameroon#implementation-,CMR,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,,,,,,,,0.2587515,0.919483,1.06858,1.926015,1.772982,1.521803,2.896578,0.2264544,3.880957,-0.8539573,0.9422984,0.7392969,-0.7696052,-1.011797,-0.1165966,0.2562564,0.0378413,-0.0976706,0.083502,1.041024,0.7960489,2.23378,-0.1477596,1.715355,-0.1210221,4.622171,2.452975,0.4301837,1.46797,0.3290233,0.9266489,0.0896606,3.178994,2.267935,2.453846,1.992267,1.850847,2.261687,2.442493,0.5296644,,,,,,,,,,,,,,,,,,8710528.9,40548471,62099934,1.30E+08,1.35E+08,1.11E+08,2.14E+08,17667656,3.16E+08,-90700158,1.16E+08,92362479,-85734447,-1.13E+08,-14498050,29203776,5120733.1,-9005687.5,7292420.1,1.01E+08,78335616,2.15E+08,-15494743,1.59E+08,-11658187,5.03E+08,3.34E+08,67863015,2.44E+08,59069773,1.89E+08,20910876,7.43E+08,5.36E+08,6.52E+08,5.27E+08,5.47E+08,7.25E+08,6.94E+08,1.28E+08,-1.12,0.31,4,13.04,4.89,25,-0.62,0.27,6,25.39,13.47,43.01,-0.59,0.25,6,26.67,13.85,42.56,-0.87,0.21,7,20.41,10.71,32.65,-0.84,0.18,8,19.39,13.27,30.61,-0.69,0.18,8,24.63,15.27,38.92,-0.93,0.16,9,19.12,11.76,25.49,-0.85,0.17,10,21.08,12.75,29.9,-0.85,0.17,10,20.39,12.62,30.1,-0.83,0.17,10,20.39,14.56,32.04,-0.76,0.16,10,24.4,15.31,33.97,-0.74,0.16,10,24.88,17.7,35.41,-0.81,0.16,11,23.22,13.74,31.75,-0.93,0.17,11,21.33,10.43,27.96,-0.94,0.17,11,18.96,9.95,26.54,-0.88,0.17,11,19.71,10.1,29.81,-0.92,0.17,11,16.83,10.1,28.37,-0.79,0.17,11,23.08,12.02,31.25,-1.33,0.26,4,3.76,0,18.82,-1.22,0.21,6,7.73,0.52,22.16,-1.19,0.22,6,7.11,0,25.38,-1.17,0.2,6,7.58,0,24.24,-0.98,0.18,8,14.65,5.56,28.79,-1.11,0.17,9,11.71,3.41,21.95,-1.18,0.16,10,11.22,1.95,18.05,-1.09,0.15,12,13.66,5.37,20,-1.02,0.15,13,16.5,6.8,23.3,-1.02,0.15,13,15.53,4.85,24.27,-1,0.16,13,17.22,5.74,24.88,-1.06,0.16,13,14.29,3.81,21.9,-1.15,0.14,15,12.32,3.32,18.96,-1.26,0.14,15,8.06,0.95,15.17,-1.21,0.13,15,9.95,1.9,16.11,-1.16,0.13,15,10.58,4.81,15.38,-1.07,0.13,15,12.98,7.69,19.23,-1.14,0.14,15,11.06,6.73,15.87
Africa,Chad,1,2007,2010,2014,,0,,,,,,0,,https://eiti.org/chad#implementation-,TCD,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,,,,,,,,2.261541,3.064497,-0.1284456,-0.0416262,-0.0125437,-0.0143821,-0.0108119,0.9994808,5.193269,2.640921,0.7015541,0.0869587,1.307073,0.5406632,0.2258506,0.1041939,1.036111,2.294781,2.25542,2.455364,2.867498,1.243509,1.598058,8.31535,26.90303,46.4937,26.0413,10.57307,-1.494622,-3.751147,-3.723414,4.502841,4.051447,2.936842,2.318947,4.687821,4.01704,-4.852284,5.512269,5.831387,,,,,,,,,,,,,,,,,,21153560,34136051,-1290000,-430000,-110000,-120000,-90000,9186265.6,53650094,28200501,8162068.5,1289247.3,18739324,9400000,4239527.5,1960771,15160902,27074699,32611570,39466174,44293941,21696680,24524971,1.15E+08,4.60E+08,9.24E+08,7.13E+08,4.67E+08,-99342519,-2.78E+08,-3.22E+08,4.66E+08,3.75E+08,3.13E+08,2.82E+08,5.80E+08,5.20E+08,-6.76E+08,6.00E+08,5.60E+08,-1.23,0.36,2,10.33,2.17,25,-0.89,0.3,4,17.1,7.25,32.12,-0.75,0.28,4,20.51,11.28,37.95,-0.89,0.25,5,19.9,7.14,35.2,-0.91,0.2,6,18.88,10.2,28.06,-0.85,0.2,7,18.72,11.33,31.53,-1.24,0.17,7,10.78,4.41,18.63,-1.1,0.18,9,14.71,6.86,21.08,-1.13,0.18,9,13.11,5.83,20.87,-1.18,0.18,9,12.14,4.85,18.45,-1.06,0.17,9,14.83,5.74,23.92,-1.07,0.17,9,14.35,6.7,23.44,-1.03,0.17,9,16.11,8.06,24.17,-1.07,0.18,9,13.27,7.58,24.17,-0.99,0.18,9,17.06,8.53,26.07,-1.16,0.19,9,10.58,4.33,21.15,-1.21,0.18,9,9.13,4.33,16.83,-1.18,0.19,9,9.62,4.81,18.27,-1.38,0.34,2,3.23,0,25.27,-1.26,0.28,4,6.19,0,25.26,-1.11,0.27,4,11.17,0,30.96,-1.15,0.28,4,9.09,0,31.31,-1.37,0.21,6,4.04,0,11.11,-1.38,0.19,7,4.88,0,13.66,-1.51,0.19,7,1.46,0,10.73,-1.35,0.16,10,4.88,0.49,12.2,-1.38,0.16,10,3.88,0,10.68,-1.52,0.16,10,1.46,0,4.85,-1.4,0.17,10,2.87,0,11,-1.38,0.17,10,2.86,0.48,12.86,-1.33,0.17,10,4.74,0,15.17,-1.31,0.18,10,3.79,0,15.17,-1.35,0.18,11,4.27,0,12.32,-1.32,0.17,11,6.25,0.48,13.94,-1.36,0.17,11,5.29,0.48,12.02,-1.45,0.18,11,4.81,0,10.58
Africa,Equatorial Guinea,0,,,,,0,,,,,,0,delisted in 2010,https://eiti.org/equatorial-guinea,GNQ,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,-0.4900436,1.015924,1.170052,4.312322,3.927972,7.368397,1.799759,0.4973409,1.008609,9.876773,37.26105,4.467705,16.39252,16.85948,89.47562,161.8237,12.08387,74.1239,24.84169,14.77054,64.3841,17.89915,27.76057,7.729147,9.360005,4.654783,9.507021,-4.019629,10.88796,16.77451,9.259521,4.400504,2.656699,0.7821976,1.918456,0.5301341,,,,,,,,,,,,,,,,,,,-20000,,,-180000,450000,520000,2170000,2440000,5630000,1680000,500000,890258.97,11073779,41324759,6018320.2,22301676,16995533,1.27E+08,3.76E+08,53451528,2.75E+08,1.54E+08,1.55E+08,9.41E+08,3.23E+08,6.90E+08,3.41E+08,7.69E+08,4.70E+08,1.24E+09,-7.94E+08,1.64E+09,2.73E+09,1.98E+09,9.85E+08,5.83E+08,1.68E+08,2.33E+08,53962173,-1.44,0.34,2,6.52,1.63,21.2,-1.6,0.27,5,6.74,2.59,11.4,-1.68,0.25,5,6.15,2.05,9.74,-1.46,0.25,5,7.14,2.55,14.8,-1.36,0.21,5,8.16,2.55,16.84,-1.45,0.21,6,6.4,2.46,12.32,-1.43,0.18,6,6.86,1.96,12.25,-1.39,0.21,6,7.84,2.45,15.2,-1.31,0.21,5,7.77,2.91,16.99,-1.32,0.21,5,7.28,2.43,16.5,-1.28,0.21,5,7.18,3.35,20.57,-1.38,0.2,6,6.22,2.39,15.31,-1.33,0.2,6,7.58,2.84,17.54,-1.44,0.21,6,6.64,2.37,11.85,-1.43,0.2,6,6.64,2.37,13.27,-1.36,0.22,5,7.21,2.88,15.87,-1.35,0.21,5,5.77,2.4,13.94,-1.38,0.22,5,6.25,2.88,12.5,-1.26,0.28,3,6.45,0,25.27,-1.31,0.22,5,3.61,0.52,18.56,-1.55,0.22,5,1.02,0,7.11,-1.43,0.2,5,1.01,0,10.61,-1.52,0.22,5,1.01,0,9.6,-1.66,0.2,6,0.49,0,6.34,-1.61,0.2,6,0.49,0,7.32,-1.59,0.21,6,0.98,0,7.32,-1.5,0.22,5,2.43,0,9.22,-1.47,0.22,5,2.91,0,12.14,-1.47,0.22,5,1.91,0,12.44,-1.47,0.21,6,1.9,0,12.86,-1.46,0.21,6,1.9,0,12.8,-1.52,0.22,6,0.47,0,10.9,-1.59,0.22,7,0,0,9,-1.77,0.23,6,0,0,4.33,-1.77,0.22,6,0,0,3.37,-1.81,0.23,6,0,0,5.29
Africa,Gabon,0,,,,,0,,,,,,0,lost status as 'EITI candidate' in 2013,https://eiti.org/gabon,GAB,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,,,,,,,,,2.366469,1.81663,0.7365627,1.413054,3.641181,3.297996,0.2281198,0.4518494,3.239162,2.73649,3.45679,-0.7293149,1.234111,-1.010365,2.269871,-2.59705,-2.376693,-6.342679,-8.589433,-5.843942,3.270435,-3.358829,5.486753,-2.004741,0.0218573,1.533961,4.047949,3.448206,2.637426,2.165168,4.984339,4.74922,3.475273,3.827019,4.848008,4.384089,5.562772,4.374485,4.947351,,,,,,,,,,,,,,,,,,,56546282,55048465,31522217,54575942,1.32E+08,1.12E+08,8124375.4,15091384,1.10E+08,89806045,1.33E+08,-30532121,73457902,-54589234,1.27E+08,-1.14E+08,-99602904,-3.15E+08,-4.89E+08,-3.11E+08,1.47E+08,-1.57E+08,2.78E+08,-1.01E+08,1160708.3,99666154,3.14E+08,3.26E+08,2.68E+08,2.69E+08,7.73E+08,5.73E+08,4.99E+08,6.96E+08,8.33E+08,7.71E+08,1.01E+09,6.24E+08,7.03E+08,0.14,0.31,4,60.33,36.96,70.11,0.18,0.27,6,58.55,39.9,72.02,-0.11,0.25,6,48.21,29.23,64.1,-0.16,0.23,6,47.45,32.14,61.22,-0.11,0.2,6,51.02,38.78,59.69,-0.46,0.19,7,35.96,21.18,49.26,-0.15,0.17,7,50.49,38.24,57.35,-0.41,0.19,8,39.22,22.55,51.47,-0.52,0.2,8,31.55,20.87,49.51,-0.63,0.19,8,29.13,16.99,44.17,-0.58,0.18,8,30.14,20.57,44.5,-0.55,0.18,8,33.01,21.53,43.54,-0.54,0.19,8,32.23,21.8,43.13,-0.59,0.2,9,30.81,21.33,43.6,-0.64,0.19,9,28.91,18.01,41.23,-0.79,0.2,8,25.96,10.58,33.65,-0.8,0.19,9,25,12.5,35.1,-0.8,0.19,9,21.63,11.06,32.69,-1.1,0.26,4,13.98,0.54,30.65,-0.96,0.21,6,18.56,3.09,31.96,-0.71,0.22,6,29.44,12.18,43.65,-0.59,0.2,6,32.83,20.2,47.47,-0.63,0.21,6,32.32,13.13,46.97,-0.85,0.19,7,21.95,10.73,34.63,-0.67,0.19,7,29.76,17.07,44.39,-0.97,0.17,9,18.05,6.83,28.78,-1.06,0.18,9,13.11,4.37,22.82,-1.08,0.17,9,13.59,3.88,21.84,-1,0.19,8,17.7,4.31,26.32,-0.87,0.18,8,20.48,10.95,32.38,-0.89,0.18,8,19.91,8.53,33.18,-0.7,0.16,10,28.44,17.06,40.76,-0.66,0.16,11,29.38,18.96,43.13,-0.69,0.16,10,28.37,15.38,40.87,-0.71,0.15,11,26.44,14.9,38.94,-0.75,0.16,11,24.52,13.46,36.54
